article,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Main_Page,1,1646092800000,165792541,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Special:Search,2,1646092800000,44970965,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
2022_Russian_invasion_of_Ukraine,3,1646092800000,14370145,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Vladimir_Putin,4,1646092800000,10602177,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
The_Batman_(film),5,1646092800000,7021301,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Ukraine,6,1646092800000,5636716,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Volodymyr_Zelenskyy,7,1646092800000,4841723,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
The_Kashmir_Files,8,1646092800000,4808795,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Russo-Ukrainian_War,9,1646092800000,4458573,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Anna_Sorokin,10,1646092800000,4180088,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Deaths_in_2022,11,1646092800000,3897339,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
RRR_(film),12,1646092800000,3809473,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Taylor_Hawkins,13,1646092800000,3700577,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Cleopatra,14,1646092800000,3493019,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Jada_Pinkett_Smith,15,1646092800000,3182401,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Shane_Warne,16,1646092800000,3129980,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
File:HispanTv_logo.svg,17,1646092800000,3034144,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
YouTube,18,1646092800000,2999800,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Will_Smith,19,1646092800000,2914167,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Elizabeth_Holmes,20,1646092800000,2839603,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Johann_Bollig,21,1646092800000,2677194,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
NATO,22,1646092800000,2550422,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Turning_Red,23,1646092800000,2521099,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
94th_Academy_Awards,24,1646092800000,2486768,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Template:Russo-Ukrainian_War_detailed_map,25,1646092800000,2474542,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Microsoft_Office,26,1646092800000,2472800,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Bible,27,1646092800000,2423463,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Russia,28,1646092800000,2399231,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Wikipedia:Featured_pictures,29,1646092800000,2397326,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Member_states_of_NATO,30,1646092800000,2363679,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
William_Hurt,31,1646092800000,2363517,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Azov_Battalion,32,1646092800000,2359490,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Skathi_(moon),33,1646092800000,2189391,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Portal:Current_events,34,1646092800000,2048904,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
2022_FIFA_World_Cup_qualification,35,1646092800000,2035499,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Elon_Musk,36,1646092800000,1969324,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Scott_Hall,37,1646092800000,1859775,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Bridgerton,38,1646092800000,1781542,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Elden_Ring,39,1646092800000,1778496,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Zoë_Kravitz,40,1646092800000,1764111,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Roman_Abramovich,41,1646092800000,1742571,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Radhe_Shyam,42,1646092800000,1735293,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Chris_Rock,43,1646092800000,1732906,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Euphoria_(American_TV_series),44,1646092800000,1730739,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
CODA_(2021_film),45,1646092800000,1708843,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Soviet_Union,46,1646092800000,1701805,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Spider-Man:_No_Way_Home,47,1646092800000,1662423,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
XXXX,48,1646092800000,1621693,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
The_Power_of_the_Dog_(film),49,1646092800000,1574874,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
United_States,50,1646092800000,1571695,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Vivek_Agnihotri,51,1646092800000,1569142,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
Ketanji_Brown_Jackson,52,1646092800000,1568678,2022-03-01T00:00:00.000Z,2022-03-01T00:00:00.000Z,2022-04-01T00:00:00.000Z
